Distance Time
8000 25.483
5000 14.900
3000 8.583
1500 4.033
8000 25.300
5000 15.017
3000 8.35
1500 3.983
8000 25.533
5000 15.500
3000 8.85
1500 4.083
8000 26.233
5000 16.25
3000 9.2
1500 4.233
8000 26.283
5000 15.883
3000 9.25
1500 4.317
8000 26.867
3000  9.10
1500 4.000
8000 28.267
5000 17.133
3000 9.867
8000 27.400
3000 9.333
1500 4.317
8000 27.867
3000 9.65
1500 4.583
8000 28.617
5000 17.700
1500 4.65
